CustomerID,CustomerName,Recency,Frequency,Monetary,RFM_Score,CustomerSegment
28094,Melanie Peterson,4503,1,$2.29,3,Lost Customers
28300,Abigail Bennett,4454,1,$2.29,3,Lost Customers
27993,Hunter Miller,4430,1,$2.29,3,Lost Customers
28095,Natalie Bryant,4377,1,$2.29,5,At-Risk Customers
28776,Abigail Morris,4359,1,$2.29,5,At-Risk Customers
28781,Alex Collins,4338,1,$2.29,5,At-Risk Customers
28968,Marcus Morgan,4325,1,$2.29,6,Potential Loyalists
27991,Natalie Rivera,4297,1,$2.29,6,Potential Loyalists
28093,Brad Kumar,4292,1,$2.29,6,Potential Loyalists
28016,Cody Sanders,4272,1,$2.29,6,Potential Loyalists
27992,Dylan Taylor,4232,1,$2.29,8,Potential Loyalists
26901,Louis Nara,4230,1,$3.99,8,Potential Loyalists
20141,Angelica Flores,4243,1,$3.99,7,Potential Loyalists
25753,Nichole Lal,4241,1,$3.99,8,Potential Loyalists
24538,Latasha Diaz,4225,1,$3.99,8,Potential Loyalists
22805,Cristina Goel,4215,1,$3.99,8,Potential Loyalists
29131,Brandon Coleman,4211,1,$3.99,8,Potential Loyalists
29061,Jaime Kumar,4211,1,$3.99,8,Potential Loyalists
29076,Megan Miller,4205,1,$3.99,8,Potential Loyalists
20961,Keith Goldberg,4198,1,$3.99,8,Potential Loyalists
24553,Michele Ashe,4198,1,$3.99,8,Potential Loyalists
27927,Omar Zhao,4197,1,$3.99,8,Potential Loyalists
26820,Carol Nath,4187,1,$3.99,8,Potential Loyalists
26863,Alvin Chen,4185,1,$3.99,8,Potential Loyalists
27989,Joseph Thomas,4183,1,$3.99,8,Potential Loyalists
17819,Arthur Rana,4178,1,$3.99,8,Potential Loyalists
22660,Monica Lopez,4177,1,$3.99,8,Potential Loyalists
25544,Sergio Fernandez,4176,1,$3.99,8,Potential Loyalists
24150,Jack Campbell,4261,1,$3.99,6,Potential Loyalists
23912,Arthur Sanchez,4249,1,$3.99,6,Potential Loyalists
20956,Kristy Alonso,4245,1,$3.99,7,Potential Loyalists
29083,Toni Sullivan,4286,1,$3.99,6,Potential Loyalists
23604,Troy Kovar,4286,1,$3.99,6,Potential Loyalists
24562,Ricky Rubio,4279,1,$3.99,6,Potential Loyalists
29269,Vanessa Griffin,4277,1,$3.99,6,Potential Loyalists
17818,Dale Yuan,4296,1,$3.99,6,Potential Loyalists
23916,Ruben Serrano,4313,1,$3.99,6,Potential Loyalists
29051,Michele She,4309,1,$3.99,6,Potential Loyalists
19481,Darren Suarez,4308,1,$3.99,6,Potential Loyalists
27165,Bruce Patel,4331,1,$3.99,5,At-Risk Customers
23634,Ernest Li,4330,1,$3.99,5,At-Risk Customers
20840,Alison Xie,4319,1,$3.99,6,Potential Loyalists
25313,Trevor Coleman,4349,1,$3.99,5,At-Risk Customers
24129,Jamie Gutierrez,4345,1,$3.99,5,At-Risk Customers
24535,David Shepard,4360,1,$3.99,5,At-Risk Customers
22568,Autumn Wu,4357,1,$3.99,5,At-Risk Customers
20795,Emmanuel Subram,4365,1,$3.99,5,At-Risk Customers
25477,Holly Raman,4383,1,$3.99,5,At-Risk Customers
27730,Isabella Cox,4429,1,$3.99,3,Lost Customers
27221,Matthew Jones,4436,1,$3.99,3,Lost Customers
23953,Shane Mehta,4432,1,$3.99,3,Lost Customers
17820,Emma Morris,4447,1,$3.99,3,Lost Customers
22710,Trisha Zhao,4447,1,$3.99,3,Lost Customers
24108,Tonya Lal,4439,1,$3.99,3,Lost Customers
24078,Neil Martin,4457,1,$3.99,3,Lost Customers
24572,Carolyn Martinez,4449,1,$3.99,3,Lost Customers
27164,Micheal Carlson,4423,1,$3.99,4,At-Risk Customers
29153,Pedro Arun,4421,1,$3.99,4,At-Risk Customers
24691,Meredith Carlson,4408,1,$3.99,4,At-Risk Customers
23611,Dave Natsuhara,4390,1,$3.99,4,At-Risk Customers
23623,Jocelyn Griffin,4502,1,$3.99,3,Lost Customers
26911,Kristi Gomez,4502,1,$3.99,3,Lost Customers
27806,Krista Sanz,4505,1,$3.99,3,Lost Customers
20178,Deborah Anand,4475,1,$3.99,3,Lost Customers
27929,Ross Madan,4473,1,$3.99,3,Lost Customers
20948,Xavier White,4472,1,$3.99,3,Lost Customers
19516,Kaitlyn Griffin,4472,1,$3.99,3,Lost Customers
24120,Kaitlyn Allen,4471,1,$3.99,3,Lost Customers
20942,Tasha Sharma,4471,1,$3.99,3,Lost Customers
20142,Lydia Lopez,4524,1,$3.99,3,Lost Customers
27331,Julia Richardson,4522,1,$3.99,3,Lost Customers
24561,Megan Sherman,4517,1,$3.99,3,Lost Customers
