SalesPersonName,TotalRevenue,TotalProfit,ProfitMargin,Rank
Linda Mitchell,"$10,367,007.43","($197,156.59)",-1.90%,1
Jillian Carson,"$10,065,803.54","($261,893.98)",-2.60%,2
Michael Blythe,"$9,293,903.00","($281,662.35)",-3.03%,3
Jae Pak,"$8,503,338.65","($142,034.44)",-1.67%,4
Tsvi Reiter,"$7,171,012.75","($147,095.18)",-2.05%,5
Shu Ito,"$6,427,005.55","($396,323.45)",-6.17%,6
José Saraiva,"$5,926,418.36","($158,767.01)",-2.68%,7
Ranjit Varkey Chudukatil,"$4,509,888.93","($145,757.02)",-3.23%,8
David Campbell,"$3,729,945.35","($40,680.70)",-1.09%,9
Garrett Vargas,"$3,609,447.21","($144,573.06)",-4.01%,10
Pamela Ansman-Wolfe,"$3,325,102.59","$35,603.65",1.07%,11
Tete Mensa-Annan,"$2,312,545.69","($121,358.79)",-5.25%,12
Rachel Valdez,"$1,827,066.71","($89,576.17)",-4.90%,13
Lynn Tsoflias,"$1,421,810.92","($87,954.45)",-6.19%,14
Stephen Jiang,"$1,092,123.86","($91,763.98)",-8.40%,15
Amy Alberts,"$732,759.18","($24,279.29)",-3.31%,16
Syed Abbas,"$172,524.45","($20,766.44)",-12.04%,17
