CustomerID,CustomerName,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment
12301,Nichole Nara,4231,5,13295.380000,1,1,1,3,Lost Customers
12132,Kaitlyn Henderson,4265,5,13294.270000,2,1,1,4,At-Risk Customers
12308,Margaret He,4232,5,13269.270000,1,1,1,3,Lost Customers
12131,Randall Dominguez,4272,5,13265.990000,2,1,1,4,At-Risk Customers
12300,Adriana Gonzalez,4265,5,13242.700000,2,1,1,4,At-Risk Customers
12321,Rosa Hu,4230,5,13215.650000,1,1,1,3,Lost Customers
12124,Brandi Gill,4275,5,13195.640000,2,1,1,4,At-Risk Customers
12307,Brad She,4234,5,13173.190000,1,1,1,3,Lost Customers
12296,Francisco Sara,4257,5,13164.640000,2,1,1,4,At-Risk Customers
11433,Maurice Shan,4298,6,12909.668200,2,1,1,4,At-Risk Customers
11439,Janet Munoz,4262,6,12489.169600,2,1,1,4,At-Risk Customers
11241,Lisa Cai,4253,7,11469.188200,2,1,1,4,At-Risk Customers
11417,Lacey Zheng,4206,7,11248.458200,1,1,1,3,Lost Customers
11420,Jordan Turner,4222,7,11200.769600,1,1,1,3,Lost Customers
11242,Larry Munoz,4217,7,11068.008200,1,1,1,3,Lost Customers
12655,Larry Vazquez,4387,4,10899.620000,3,1,1,5,At-Risk Customers
13263,Kate Anand,4368,4,10872.060000,3,1,1,5,At-Risk Customers
12323,Lawrence Alonso,4420,4,10836.900000,3,1,1,5,At-Risk Customers
12333,Terrance Rodriguez,4399,4,10829.220000,3,1,1,5,At-Risk Customers
12650,Aaron Wright,4379,4,10813.630000,3,1,1,5,At-Risk Customers
12631,Clarence Gao,4397,4,10799.520000,3,1,1,5,At-Risk Customers
12632,Bonnie Nath,4388,4,10793.270000,3,1,1,5,At-Risk Customers
12332,Andres Nara,4380,4,10789.530000,3,1,1,5,At-Risk Customers
13405,Ethan Bryant,4350,4,10778.610000,3,1,1,5,At-Risk Customers
11245,Ricky Vazquez,4210,4,10580.350000,1,1,1,3,Lost Customers
11246,Latasha Rubio,4201,4,10575.330000,1,1,1,3,Lost Customers
11237,Clarence Anand,4226,4,10566.380000,1,1,1,3,Lost Customers
11425,Ariana Gray,4200,6,10528.628200,1,1,1,3,Lost Customers
11429,Marco Lopez,4197,6,10468.379600,1,1,1,3,Lost Customers
11428,Deanna Perez,4260,4,9954.260000,2,1,1,4,At-Risk Customers
11427,Desiree Dominguez,4262,4,9917.990000,2,1,1,4,At-Risk Customers
11431,Bryant Garcia,4282,4,9912.980000,2,1,1,4,At-Risk Customers
11423,Jasmine Stewart,4262,4,9904.970000,2,1,1,4,At-Risk Customers
